idx,score,action_budget,correct,tokens
0,2.55,256,1,220.0
5,0.05,256,0,8.0
10,2.55,256,1,134.0
15,2.6999999999999997,256,1,105.0
20,0.05,256,0,8.0
25,0.05,256,0,7.0
30,0.05,256,1,8.0
35,0.05,256,0,9.0
40,2.55,256,1,181.0
45,0.05,256,0,8.0
50,0.05,256,0,9.0
55,0.05,256,1,8.0
60,0.05,256,0,8.0
65,0.05,256,1,7.0
70,0.05,256,1,9.0
75,0.05,256,1,9.0
80,1.6500000000000001,256,1,246.0
85,0.05,256,0,8.0
90,0.05,256,0,7.0
95,0.05,256,1,7.0
100,0.05,256,0,10.0
105,0.05,256,0,9.0
110,0.05,256,0,7.0
115,0.05,256,1,8.0
120,0.4,256,1,51.0
125,0.05,256,0,9.0
130,0.05,256,1,9.0
135,0.05,256,1,8.0
140,0.05,256,0,8.0
145,2.5,256,1,198.0
150,0.05,256,0,10.0
155,0.05,256,1,7.0
160,0.35000000000000003,256,0,34.0
165,0.4,256,0,38.0
170,1.75,256,1,244.0
175,0.05,256,1,7.0
180,0.05,256,0,7.0
185,0.05,256,1,10.0
190,0.4,256,0,42.0
195,0.05,256,1,8.0
